321.15,18113
321.15,18910
321.15,20617
321.15,2284
321.15,2484
321.15,26363
321.15,26641
321.15,2754
321.15,2990
321.15,3005
321.15,32283
321.15,3283
321.15,3369
321.15,3540
321.15,3627
321.1,5374017
321.15,3866
321.15,4121
321.15,4230
321.15,4409
321.15,4442
321.15,4585
321.15,4610
321.15,4926
321.15,5043
321.15,5218
321.15,5529
321.15,59738
321.15,6011
321.15,61752
321.15,6187
321.15,6628
321.15,7677
321.15,7877
321.15,7894
321.15,8040
321.1,6311
321.1,6423
321.1,7606
321.1,85326
321.1,9255
321.1,99481
321.2,15024
321.2,19838
321.2,2247
321.2,2308
321.2,28539
321.2,29721
321.2,32048
321.2,3337
321.2,4010
321.2,4245
321.2,45542
321.2,48975
321.25,11380
321.25,11445
321.25,25619
321.25,39571
321.25,3985
321.25,41290
321.25,41918
321.2,5682
321.25,71210
321.2,6205
321.2,8309
321.2,9328
321.3,13762
321.3,21758
321.3,24784
321.3,32346
321.3,38495
321.35,10951
321.35,17826
321.3,51984
321.35,21013
321.35,35675
321.3,53752
321.3,62706
321.3,6585
321.3,7970
321.4,11842
321.4,13454
321.4,18034
321.4,28678
321.4,31872
321.4,3703
321.45,10195
321.45,15809
321.45,15927
321.45,16323
321.45,18283
321.45,19394
321.45,30299
321.45,346014
321.45,5098319
321.45,8260
321.4,58748
321.45,8874
321.4,7871
321.4,9959
321.5,10627
321.5,11690
321.5,15093
321.5,15202
321.5,15515
321.5,23068
321.5,33249
321.5,36342
321.5,50469
321.55,11921
321.55,12910
321.55,13450
321.55,16407
321.55,34566
321.55,36710
321.5,5622
321.55,68661
321.5,5704
321.5,5795
321.55,8970
321.5,6522
321.5,6695
321.5,6795
321.5,6904
321.5,6919
321.5,8755
321.6,13522
321.6,14226
321.6,14292
321.6,20870
321.6,249675
321.6,31048
321.65,1079601
321.65,11990
321.65,15517
321.65,17131
321.65,19989
321.65,477736
321.6,567895
321.6,6200
321.6,7283
321.6,73503
321.7,10976
321.7,13034
321.7,15308
321.7,16449
321.7,19942
321.7,28362
321.7,29221
321.7,30954
321.7,3263
321.7,37037
321.7,48115
321.7,4963674
321.75,10289
321.75,109537
321.75,11331
321.75,12895
321.75,13894
321.75,16156
321.75,18342
321.75,30728
321.75,3438
321.75,4041
321.75,6915
321.7,5947
321.7,66008
321.7,7952
321.7,8745
321.8,11439
321.8,15007
321.8,17947
321.8,24938
321.8,3802
321.8,43858
321.8,5045
321.85,12305
